Month/Year,Victim of the Conflict,Municipality,Reason for consultation,Previous complaints,Scene of Violence,Type of Violence,Remission,Entity to which it refers
May-2019,No,Galapa,LEGAL,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
May-2019,No,Soledad,PSYCHOJURICAL,No,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
May-2019,No,Barranquilla,PSYCHOJURICAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
May-2019,No,Barranquilla,PSYCHOJURIDICAL,No,Others,Does not apply,None,None
May-2019,No,Barranquilla,Query,No,Others,Patrimonial,None,None
May-2019,No,Soledad,LEGAL,No,VIF,Psychological,Legal advice,Prosecutor's office
May-2019,No,Barranquilla,PSYCHOJURICAL,Yes,VIF,Psychological - Physical,None,None
May-2019,No,Barranquilla,PSYCHOLOGY,No,VIF,Psychological - Physical,Psychological Orientation,None
May-2019,No,Juan de Acosta,PSYCHOJURICAL,No,Others,Psychological,Legal advice,Prosecutor's office
May-2019,No,Laying,PSYCHOJURICAL,Yes,Others,Psychological - Physical - Heritage,Legal advice,Attorney
May-2019,No,Barranquilla,PSYCHOJURICAL,Yes,Others,Psychological - Physical - Heritage,Legal advice,None
May-2019,No,Soledad,PSYCHOJURICAL,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Ombudsman's Office
May-2019,No,Soledad,Query,No,Does not apply,Does not apply,None,None
May-2019,No,Galapa,LEGAL,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
May-2019,Yes,Soledad,LEGAL,No,VIF,Psychological - Patrimonial,Legal advice,Family commissary
May-2019,No,Barranquilla,JURICA,No,VIF,Psychological,Psycho-Legal,Family commissary
May-2019,No,Barranquilla,PSYCHOLOGICAL,Yes,VIF,Psychological,Psycho-Legal,None
May-2019,No,Barranquilla,PSYCHOJURICAL,No,Others,Psychological - Physical,None,None
May-2019,No,Barranquilla,legal advice,Yes,VIF,Physical,Legal advice,None
May-2019,No,Colombian Port,LEGAL ADVICE,Yes,VIF,Physical - Sexual,None,Prosecutor's office
May-2019,No,Palmar de Varela,LEGAL ADVICE,Yes,Others,Psychological - Physical,Legal advice,None
May-2019,No,Soledad,PSYCHOLOGICAL,Yes,VIF,Psychological - Physical,None,None
May-2019,No,Laying,Psycho-legal counseling,Yes,Others,Sexual,None,None
May-2019,No,Barranquilla,PSYCHOJURICAL,Yes,VIF,Physical - Heritage,None,Ombudsman's Office
May-2019,No,Soledad,PSYCHOLOGICAL,No,Does not apply,Does not apply,Psychological Orientation,None
June-2019,No,Soledad,LEGAL,Yes,VIF,Physical,None,None
June-2019,No,Barranquilla,LEGAL ADVICE,No,Others,Psychological,Legal advice,Prosecutor's office
June-2019,No,Soledad,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Ombudsman's Office
June-2019,No,Big bed sheet,Psychological Counseling,No,Does not apply,Does not apply,None,None
June-2019,Yes,Barranquilla,LEGAL ADVICE,No,VIF,Psychological,Psycho-Legal,Family commissary
June-2019,No,Candelaria,LEGAL ADVICE,Yes,VIF,Psychological - Physical,None,None
June-2019,No,Colombian Port,LEGAL ADVICE,Yes,Others,Psychological,Legal advice,Attorney
June-2019,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
June-2019,No,Colombian Port,LEGAL,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
June-2019,No,Galapa,LEGAL,No,Does not apply,Does not apply,Legal advice,None
